MAL_ID,image,Title,Release,Genre,Synopsis,Score,Episodes,Popularity,Demographic,Studio,Theme,Source
7786,https://cdn.myanimelist.net/images/anime/1176/100506.jpg,Arabian Night: Sindbad no Bouken,"Jun 16, 1962","['Action', 'Adventure', 'Fantasy']","This is a work by Toei Animation Co., Ltd. with screenplay by Tezuka Osamu in cooperation with novelist Kita Morio. Sinbad and a boy, Ali, are stowaways on the transport ship ""Boulder,"" but they win their proper places on the ship after currying the favor of the captain. 
Then the beautiful princess Samir jumps on board to escape a wicked minister who wants to marry her, and Sinbad goes through a series of adventures to protect the princess. 

The story unfolds with ups and downs, full of dramatic episodes from the original story such as a rough-and-tumble battle with a strange bird that is guarding diamonds.",5.43,1.0,2.2K,,Toei Animation,,Book
23003,https://cdn.myanimelist.net/images/anime/3/59665.jpg,Tanoshii Bunmeishi: Tetsu Monogatari,"Apr 22, 1962",['Slice of Life'],(No synopsis yet.),,1.0,491,,Toei Animation,Historical,Original
14213,https://cdn.myanimelist.net/images/anime/11/39147.jpg,Otogi Manga Calendar,"Jun 25, 1962",[],"A continuation of Instant History.

(Source: Cartoon Research)",6.03,312.0,899,,,Historical,Original
23005,https://cdn.myanimelist.net/images/anime/5/81484.jpg,Mogura no Motoro,"Jul 19, 1962",['Slice of Life'],(No synopsis yet.),5.48,1.0,609,,Toei Animation,,
17675,https://cdn.myanimelist.net/images/anime/5/47157.jpg,Otogi no Sekai Ryokou,"Aug 25, 1962",['Adventure'],Seven short films combined in one theatrical movie telling the story of Otogi's Studio voyage around the world.,,1.0,489,,,,
1497,https://cdn.myanimelist.net/images/anime/6/3159.jpg,Aru Machi Kado no Monogatari,"Nov 5, 1962","['Award Winning', 'Drama', 'Romance']","On a certain street corner, there live a girl and her bear doll; a mischievous mouse named Kanku-bouya; a sycamore tree; an old street lamp; a moth; and posters containing a bar girl, a violinist, and a pianist. They all strive for life, but the world may not allow them to flourish.

In Aru Machi Kado no Monogatari, will the inhabitants of the street corner be able to maintain their peaceful existences, or will war and tyranny plunge them into chaos?

[Written by MAL Rewrite]",6.54,1.0,5.1K,,Mushi Production,Music,Original
1982,https://cdn.myanimelist.net/images/anime/4/12253.jpg,Osu,"Nov 5, 1962",['Slice of Life'],"A cat just wants some alone time with his girl, but is interrupted by his stressed owner. Can't those stupid humans just keep things like relationships simple?",5.16,1.0,3.9K,,Mushi Production,,Original
2747,https://cdn.myanimelist.net/images/anime/10/79582.jpg,Tetsuwan Atom,"Jan 1, 1963","['Action', 'Adventure', 'Drama', 'Sci-Fi']","Devastated over losing his only child in a car accident, Dr. Umatarou Tenma, the director of the Ministry of Science, mobilizes the institution's entire staff to create Atom: an ultimate technology robot made in his late son Tobio's exact image. Aside from unmatched power and intelligence, the robot also possesses the innocence and playfulness of a young boy.

However, Atom fails to meet Tenma's expectations when the latter realizes that Tobio's replacement cannot grow. Unable to recognize Atom for what he is, Tenma wishes to forget the whole affair. Dismissing the feelings of what he considers just a machine, he cruelly sells the android to a robot circus that treats its performers as merely disposable tools. Despite his predicament, Atom shows kindness to his wretched kin and humans alike, sparing no effort in times of crisis to keep everyone safe.

Soon, fortune smiles on the mechanical boy, as Dr. Ochanomizu—a visionary who fights against the abuse of robots—frees him from the circus. Under Ochanomizu's guidance and with a chance to forge a path in their mixed human-robot society, Atom fights tirelessly to make the world a peaceful place while also discovering its vast complexity.

[Written by MAL Rewrite]",7.07,193.0,14K,Shounen,Mushi Production,,Manga
3905,https://cdn.myanimelist.net/images/anime/1338/119226.jpg,Wanpaku Ouji no Orochi Taiji,"Mar 24, 1963","['Adventure', 'Award Winning', 'Fantasy']","Susanoo, the youngest child of the creation gods Izanagi and Izanami, is a mighty warrior, easily able to defeat tigers with his bare hands. After his mother dies, Susanoo is devastated. Determined to travel to Heaven to find her, he carves a boat out of a tree, and along with his rabbit companion, Akahana, he prepares to cross the ocean.

As Susanoo does not know how to reach Heaven, he first visits his brother, Tsukuyomi, leader of the Night Kingdom, and his sister, Amaterasu, leader of the Light Kingdom. While his siblings can warn Susanoo of the dangers he faces, they are unable to stop him or provide him with the directions to Heaven. As Susanoo continues his journey to the ends of the Earth, Orochi, an eight-headed dragon, awakens to stand in Susanoo's path.

[Written by MAL Rewrite]",6.36,1.0,3.8K,,Toei Animation,,Original
2686,https://cdn.myanimelist.net/images/anime/8/71758.jpg,Tetsujin 28-gou,"Oct 20, 1963","['Adventure', 'Sci-Fi']","Dr.Haneda was developing experimental giant robot warriors to fight the allies during the Second World War, but before his creations could see action, Allied bombs destroyed the facility and killed him. A decade later criminals discovered two of the surviving prototypes, #26 and 27 in the series, and used the remote controlled robots to commit a number of crimes. Young Shotaro Haneda, the twelve year old son of Dr.Haneda, did some investigating and discovered that the mob were hunting for the twenty-eighth robot in the series, rumoured to be the most powerful of them all. Racing the villains, Shotaro discovers the robot first, along with Dr.Shikashima, a colleague of his father's who was also believed killed by the Allied bombing. Together the two prevent Tetusjin-28 (the robot's official designation) from falling into the hands of the bad guys, and decide to dedicate him to peace rather than war.

Shotaro fought crime for a long time, supported by Dr.Shikashima, who would repair Tetsujin-28 when he was damaged, and by police officer Otsuka. Shotaro even battled the alien Magmans, invaders from the planet Magma, who came to Earth late in his career, bringing their own giant robots, Magma X and Gold Wolf, with them.

(Source: AniDB)",6.38,96.0,4.3K,Shounen,Eiken,Mecha,Manga
5052,https://cdn.myanimelist.net/images/anime/4/73670.jpg,Eightman,"Nov 7, 1963","['Action', 'Drama', 'Sci-Fi']","A private investigator working a routine case involving stolen technology is mortally wounded. His only hope for survival comes from sacrificing his humanity to become 8Man—a powerful cyborg crime-fighter enhanced with a living human brain. Resurrected as the ultimate high-tech vigilante, it is up to 8Man to bring the lawless to justice and put an end to the escalating cycle of violence. A classic animated thriller that will leave you breathless.

(Source: AnimeNfo)",5.9,56.0,2.5K,,TCJ,Mecha,Manga
8041,https://cdn.myanimelist.net/images/anime/2/78110.jpg,Sennin Buraku,"Sep 4, 1963","['Comedy', 'Ecchi']","The ancient Chinese town of Taoyuan is populated exclusively by Taoist ascetics. The elder, Lao Shi, conducts research on magic and alchemy, while his pupil Zhi Huang is more interested in the pleasures of the flesh. He fell in love with three beautiful sisters who live close by.",5.6,23.0,1.3K,,Eiken,,4-koma manga
